327	¶¬	38.936077		327	¶¬	28.000057		327	¶¬	23.112926		321	¶¬	19.684973		319	¶¬	28.508312																									
334	¶¬	40.512779		334	¶¬	24.640886		334	¶¬	19.289803		326	¶¬	22.395458		321	¶¬	21.125711																									
335	¶¬	41.859989		335	¶¬	27.66169		335	¶¬	23.269272		327	¶¬	21.100819		326	¶¬	20.456846																									
348	¶¬	40.569225		348	¶¬	25.862595		348	¶¬	17.646835		334	¶¬	19.595913		327	¶¬	21.287113																									
360	¶¬	34.865761		360	¶¬	17.562729		360	¶¬	10.896202		335	¶¬	17.910332		334	¶¬	22.187065																									
361	¶¬	39.94062		361	¶¬	25.335308		361	¶¬	19.123917		348	¶¬	15.703138		335	¶¬	15.845079																									
362	¶¬	36.247768		362	¶¬	19.437668		362	¶¬	15.795636		360	¶¬	9.540981		348	¶¬	15.075888																									
												361	¶¬	16.712076		360	¶¬	9.658974																									
												362	¶¬	16.708574		361	¶¬	17.812485																									
																362	¶¬	14.188539																									
